ten_dn,ten_chi_nhanh,dia_chi,trang_thai,khu_vuc
Lotteria,Lotteria Savico,"TTTM Savico Nguyễn Văn Linh, Quận Long Biên, Hà Nội",Dang hoat dong,Hà Nội
Lotteria,Lotteria Vinhomes Ocean Park,"SH20.21 Tòa S1.05 Vinhomes Ocean Park, xã Đa Tốn, Huyện Gia Lâm, Hà Nội",Dang hoat dong,Hà Nội
Lotteria,Lotteria Thái Thịnh,"152 Thái Thịnh, Láng Hạ, Quận Đống Đa, Hà Nội",Dang hoat dong,Hà Nội
Lotteria,Lotteria Mỹ Đình,"Tầng 1C2 Nguyễn Cơ Thạch, KĐT Mỹ Đình, Quận Từ Liêm, Hà Nội",Dang hoat dong,Hà Nội
Lotteria,Lotteria Lĩnh Nam,"Tòa Horizon city, 87 Lĩnh Nam, P. Mai Động, Quận Hoàng Mai, Hà Nội",Dang hoat dong,Hà Nội
Lotteria,Lotteria Metro,"Phạm Văn Đồng, P. Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Dang hoat dong,Hà Nội
LifeLink Gift Card,LifeLink Hà Nội,"Tầng 12A Tòa văn phòng - TTTM ROX Tower Goldmark City 136 Hồ Tùng Mậu, phường Phú Diễn, Hà Nội.",Dang hoat dong,Hà Nội
LifeLink Gift Card,LifeLink Hồ Chí Minh,"Số 122 Nguyễn Hoàng, phường Bình Trưng, TP.Hồ Chí Minh",Dang hoat dong,Hồ Chí Minh
Hệ thống Sườn Mười,Sườn Mười Hoàng Văn Thái,264 Hoàng Văn Thái - Khương Mai- Thanh Xuân - Hà Nội,Dang hoat dong,Hà Nội
Hệ thống Sườn Mười,Sườn Mười Trần Khát Chân,562 Trần Khát Chân - Hai Bà Trưng - Hà Nội,Dang hoat dong,Hà Nội
Hệ thống Sườn Mười,Sườn Mười Vũ Phạm Hàm,128 Vũ Phạm Hàm - Cầu Giấy - Hà Nội,Dang hoat dong,Hà Nội
Hệ thống Sườn Mười,Sườn Mười Giảng Võ,177 Giảng Võ - Đống Đa - Hà Nội,Dang hoat dong,Hà Nội
Hệ thống Sườn Mười,Sườn Mười Aeon Mall Hà Đông,AEON Mall Hà Đông - Hà Đông - Hà Nội,Dang hoat dong,Hà Nội
Hệ thống Sườn Mười,Sườn Mười Nguyễn Văn Lộc,117 Nguyễn Văn Lộc - Hà Đông  - Hà Nội,Dang hoat dong,Hà Nội
Hệ thống Sườn Mười,Sườn Mười Hàm Nghi,19 Hàm Nghi - Mỹ Đình - Từ Liêm - Hà Nội,Dang hoat dong,Hà Nội
Hệ thống Sườn Mười,Sườn Mười - Royal City,"Vincom Mega Mall Royal City - 72 Nguyễn Trãi, Thanh Xuân, Hà Nội",Dang hoat dong,Hà Nội
Hệ thống Sườn Mười,Sườn Mười - Times City,"Tầng B1, Vincom Times City, Minh Khai, Hà Nội",Dang hoat dong,Hà Nội
Hệ thống Sườn Mười,Sườn Mười - Royal City,"Vincom Mega Mall Royal City - 72 Nguyễn Trãi, Thanh Xuân, Hà Nội",Dang hoat dong,Hà Nội
Tàu nhà hàng SAIGON PRINCESS,Tàu nhà hàng SAIGON PRINCESS,"Cảng Hành khách Tàu biển – Cảng Sài Gòn, số 5 Nguyễn Tất Thành, phường Xóm Chiếu , TP.HCM",Dang hoat dong,Hồ Chí Minh
Du thuyền nhà hàng Benthanh Princess,Du thuyền nhà hàng Benthanh Princess,"Địa điểm sử dụng: Cảng Hành khách Tàu biển – Cảng Sài Gòn, số 5 Nguyễn Tất Thành, phường Xóm Chiếu , TP.HCM",Dang hoat dong,Hồ Chí Minh
Dookki Việt Nam,Dookki Việt Nam XUÂN THUỶ HN,"Tầng 4, Mipec Rubik360, 122-124 đường Xuân Thủy, Phường Cầu Giấy, Hà Nội",Dang hoat dong,Hà Nội
Dookki Việt Nam,Dookki Việt Nam TRƯƠNG ĐỊNH PLAZA HN,"L1-06, Số 461 đường Trương Định, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",Dang hoat dong,Hà Nội
Dookki Việt Nam,Dookki Việt Nam VINCOM MEGA MALL SMART CITY HN,"Tầng 3, Vincom Mega Mall Smart City, Nam Từ Liêm, Hà Nội",Dang hoat dong,Hà Nội
Dookki Việt Nam,Dookki Việt Nam AEON LONG BIÊN,"Tầng 3 Aeon Long Biên, 27 Đường Cổ Linh, Long Biên, Hà Nội",Dang hoat dong,Hà Nội
Dookki Việt Nam,Dookki Việt Nam VINCOM CENTER PHẠM NGỌC THẠCH HN,"Tầng 6, 02 Phạm Ngọc Thạch, Trung Tự, Đống Đa, Hà Nội",Dang hoat dong,Hà Nội
Dookki Việt Nam,Dookki Việt Nam THE ZEI HN,"Tầng 2, TTTM The Zei Plaza, Số 8 Lê Đức Thọ, Phường Mỹ Đình, Nam Từ Liêm, Hà Nội",Dang hoat dong,Hà Nội
Dookki Việt Nam,Dookki Việt Nam ROYAL CITY HN,"Tầng hầm R3 Vincom Royal City, Số 72 Nguyễn Trãi, Thượng Đình, Thanh Xuân, Hà Nội",Dang hoat dong,Hà Nội
Dookki Việt Nam,Dookki Việt Nam ROX GOLD SEASON HN,"Tầng 1 - L11, Tòa Nhà HHNO1, 47 Nguyễn Tuân, Phường Thanh Xuân, Hà Nội",Dang hoat dong,Hà Nội
Dookki Việt Nam,Dookki Việt Nam VINCOM MEGA MALL OCEAN PARK,"Tầng 4, Vincom Mega Mall Ocean Park, Đa Tốn, Gia Lâm, Hà Nội",Dang hoat dong,Hà Nội
Dookki Việt Nam,Dookki Việt Nam CENTER POINT,"Tầng 5 TTTM Hà Nội Centerpoint, 27 Đường Lê Văn Lương, Nhân Chính, Thanh Xuân, Hà Nội",Dang hoat dong,Hà Nội
Dookki Việt Nam,Dookki Việt Nam VINCOM SKYLAKE PHẠM HÙNG,"Tầng 3 Vincom Plaza Skylake - Phạm Hùng, Mĩ Đình, Nam Từ Liêm, Hà Nội",Dang hoat dong,Hà Nội
Dookki Việt Nam,Dookki Việt Nam VINCOM NGUYỄN CHÍ THANH,"Tầng hầm BH1 Vincom Nguyễn Chí Thanh, 54A Nguyễn Chí Thanh, Láng Thượng, Đống Đa, Hà Nội",Dang hoat dong,Hà Nội
Dookki Việt Nam,Dookki Việt Nam THE LINC PARKCITY HÀ ĐÔNG,"Tầng 2, Tòa nhà A, Trung tâm thương mại Park City, Khu đô thị Park City Hà Nội, Đường Lê Trọng Tấn, Phường Dương Nội, Hà Nội",Dang hoat dong,Hà Nội
Dookki Việt Nam,Dookki Việt Nam GO! THĂNG LONG,"Tầng 2, TTTM Go! Thăng Long, Số 222 Trần Duy Hưng, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",Dang hoat dong,Hà Nội
Dookki Việt Nam,Dookki Việt Nam ROX GOLDMARK HN,"Tầng 1, ROX Center Hồ Tùng Mậu, Số 136 Hồ Tùng Mậu, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",Dang hoat dong,Hà Nội
Dookki Việt Nam,Dookki Việt Nam MIPEC LONG BIÊN,"Tầng 2, Trung tâm thương mại Mipec Long Biên, số 2 Đường Long Biên II, Quận Long Biên, Hà Nội",Dang hoat dong,Hà Nội
Dookki Việt Nam,Dookki Việt Nam VINCOM TIME CITY HN,"Tầng B1-22 Vincom Time City, số 458 Minh Khai, Hai Bà Trưng, Hà Nội",Dang hoat dong,Hà Nội
Dookki Việt Nam,Dookki Việt Nam BÀ TRIỆU HN,"Tầng 5 Vincom Bà Triệu, số 191 Bà Triệu, Lê Đại Hành, Hai Bà Trưng, Hà Nội",Dang hoat dong,Hà Nội
Dookki Việt Nam,Dookki Việt Nam GO HÀ ĐÔNG HN,"Gian hàng 1S12, TTTM Tops Hà Đông, 104, Đường Trần Phú, Phường Mộ Lao, Quận Hà Đông, Hà Nội",Dang hoat dong,Hà Nội
Dookki Việt Nam,Dookki Việt Nam LOTTE LIỄU GIAI,"Tầng 3, Toà nhà Lotte Center Hanoi, 54 Liễu Giai, Phường Cống Vị, Quận Ba Đình, Hà Nội",Dang hoat dong,Hà Nội
Dookki Việt Nam,Dookki Việt Nam THE LOOP IPH HN,"Tầng 3, Trung Tâm Thương Mại Indochina Plaza Hà Nội, Số 241 Đường Xuân Thủy, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",Dang hoat dong,Hà Nội
Dookki Việt Nam,Dookki Việt Nam SAVICO LONG BIÊN,"Tầng 3, TTTM Tasco Mall Long Biên, 7-9 Nguyễn Văn Linh, Long Biên, Hà Nội",Dang hoat dong,Hà Nội
Dookki Việt Nam,Dookki Việt Nam LOTTE MALL TÂY HỒ,"Tầng 3 TTTM Lotte Mall Hà Nội, Khu đô thị Nam Thăng Long, số 272 đường Võ Chí Công, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",Dang hoat dong,Hà Nội
Dookki Việt Nam,Dookki Việt Nam VINCOM TRẦN DUY HƯNG,"Tầng 4 Vincom Trần Duy Hưng, số 119 Trần Duy Hưng, Trung Hoà, Cầu Giấy, Hà Nội",Dang hoat dong,Hà Nội
Dookki Việt Nam,Dookki Việt Nam BẮC TỪ LIÊM,"Tầng hầm B1 28 31 Vincom Bắc Từ Liêm, 234 Phạm Văn Đồng, Cổ Nhuế, Bắc Từ Liêm, Hà Nội",Dang hoat dong,Hà Nội
Dookki Việt Nam,Dookki Việt Nam AEON HÀ ĐÔNG,"Tầng 2 AEON Hà Đông, Dương Nội, Hà Đông, Hà Nội",Dang hoat dong,Hà Nội
Dookki Việt Nam,Dookki Việt Nam LION MALL - TÂY HỒ,"59 Đường Xuân Diệu, Quảng An, Tây Hồ, Hà Nội",Dang hoat dong,Hà Nội
Dookki Việt Nam,Dookki Việt Nam LINH ĐÀM HN,"Ô số 9 - 10, Lô TT01B, Khu đô thị mới Tây Nam Hồ Linh Đàm, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Dang hoat dong,Hà Nội
Dookki Việt Nam,Dookki Việt Nam MAC PLAZA HN,"Tầng 4 TTTM Mac Plaza Hà Đông, Số 10 Trần Phú, Mô Lão, Hà Đông, Hà Nội",Dang hoat dong,Hà Nội
Ngự thuyền Hueritage,Ngự thuyền Hueritage,"Nghinh Lương Đình, Đường Lê Duẩn, Phường Phú Xuân, Thành phố Huế",Dang hoat dong,Huế
Nhà hàng Shacha Niú,Nhà hàng Shacha Níu,"26 Lương Định Của, Phường Kim Liên, Hà Nội",Dang hoat dong,Hà Nội
Novotel Saigon Centre,Novotel Saigon Centre,"Nhà hàng Food Exchange - Tầng 2, Novotel Saigon Centre 4* -  Số 167 Hai Bà Trưng, Phường Xuân Hoà, TP.HCM.",Dang hoat dong,Hồ Chí Minh
Tổ Hợp Khu Vui Chơi KidZania Lotte Mall Tây Hồ,Tổ Hợp Khu vui chơi KidZania Lotte Mall Tây Hồ,"Tầng 5, Trung tâm thương mại Lotte Mall Hà Nội, số 272 đường Võ Chí Công, phường Tây Hồ, thành phố Hà Nội, Việt Nam",Dang hoat dong,Hà Nội
The Hanoi Train,The Hanoi Train,"Cửa 1C, sảnh Bắc - Ga Hà Nội - 120 Lê Duẩn - Văn Miếu - Hà Nội",Dang hoat dong,Hà Nội
Sâu Kid Playground,SÂU KID Playground,"Tầng 3, Lô 05-06-07 toà ROX Center Goldmark City, 136 Hồ Tùng Mậu, Bắc Từ Liêm, Hà Nội",Dang hoat dong,Hà Nội
kidzooona AEON MALL Hải Phòng 3F,kidzooona AEON MALL Hải Phòng 3F,"Lô T347-348, tầng 3, Aeon Mall Hải Phòng Lê Chân, Đ. Hồ Sen Cầu Rào 2, phường An Biên, thành phố Hải Phòng",Dang hoat dong,Hải Phòng
Show Thực Cảnh Anh Hùng Cờ Lau,Show Thực cảnh Anh Hùng Cờ Lau,"Thủy Đình, Phố Cổ Hoa Lư, Ninh Bình",Dang hoat dong,Ninh Bình
Kid's Box Vincom Royal Island Hải Phòng,Kid's Box Vincom Royal Island Hải Phòng,"Lô L3-16, tầng L3, Tòa nhà Vincom Mega Mall Royal Island thuộc lô CCĐT-01, Khu B1, Khu vui chơi giải trí, nhà ở và công viên sinh thái đảo Vũ Yên, Phường Thủy Nguyên, TP. Hải Phòng, VN",Dang hoat dong,Hải Phòng
kidzooona AEON MALL Hải Phòng 2F,kidzooona AEON MALL Hải Phòng Tầng 2,"Lô T264, tầng 2, Aeon Mall Hải Phòng Lê Chân, Đ. Hồ Sen Cầu Rào 2, phường An Biên, thành phố Hải Phòng.",Dang hoat dong,Hải Phòng
kidzooona Hanoi Centre,kidzooona Hanoi Centre,"L2-C10, Tầng 2, Tiến Bộ Plaza, 175 đường Nguyễn Thái Học, Phường Ô Chợ Dừa, TP. Hà Nội",Dang hoat dong,Hà Nội
Tiny kidzooona AEON MALL Long Biên,Tiny kidzooona AEON MALL Long Biên,"Lô 3F-1, tầng 3, Aeon Mall Long Biên, Số 27 đường Cổ Linh, Phường Long Biên, Thành phố Hà Nội, Việt Nam",Dang hoat dong,Hà Nội
kidzooona AEON MALL Long Biên,kidzooona AEON MALL Long Biên,"Lô T334-1, tầng 3, Aeon Mall Long Biên, Số 27 đường Cổ Linh, Phường Long Biên, Thành phố Hà Nội, Việt Nam",Dang hoat dong,Hà Nội
Kid's Box LOTTE MART Vinh,Kid's Box LOTTE MART Vinh,"Lô 3F-11, TTTM Lotte Mart, Đại lộ V.I.Lenin, Khối Yên Sơn, Phường Vinh Phú, Tỉnh Nghệ An, Việt Nam",Dang hoat dong,Nghệ An
kidzooona GO Buôn Ma Thuột,kidzooona GO Buôn Ma Thuột,"Lô 2S22-B, TTTM Go! Buôn Ma Thuột, Góc đường Nguyễn Thị Định và đường Vành đai Phía Tây, Phường Thành Nhất, Tỉnh Đắk Lắk, Việt Nam",Dang hoat dong,Đắk Lắk
kidzooona AEON MALL Tân Phú Celadon,kidzooona AEON MALL Tân Phú Celadon,"Lô S19, Tầng 2, AEON Mall Tân Phú Celadon, Số 30, Bờ Bao Tân Thắng, Phường Tân Sơn Nhì, Tp.HCM",Dang hoat dong,Hồ Chí Minh
kidzooona PARC MALL Quận 8,kidzooona PARC MALL Quận 8,"L3-01, Tầng 3, Trung tâm thương mại PARC MALL Q.8, số 547-549 đường Tạ Quang Bửu, Phường Chánh Hưng, TP.HCM",Dang hoat dong,Hồ Chí Minh
kidzooona LOTTE MART Quận 7,kidzooona LOTTE MART Quận 7,"2F-01, Tầng 2, LOTTE MART Quận 7 (SGN), 469 Nguyễn Hữu Thọ, Phường Tân Hưng, TP. HCM",Dang hoat dong,Hồ Chí Minh
kidzooona Sense City GigaMall,kidzooona Sense City GigaMall,"L2-04, Tầng 3,TTTM Giga Mall, 240 - 242 Phạm Văn Đồng, Phường Hiệp Bình, TP.HCM",Dang hoat dong,Hồ Chí Minh
kidzooona Sense City Cần Thơ,kidzooona Sense City Cần Thơ,"L2-11, Lầu 2; L3-03 và L3-05, Lầu 3, TTTM Sense City Cần Thơ, số 01 Đại Lộ Hòa Bình, Phường Ninh Kiều, Thành phố Cần Thơ, Việt Nam",Dang hoat dong,Cần Thơ
kidzooona Sora Gardens Bình Dương,kidzooona Sora Gardens Bình Dương,"Lô số 203, Tầng 2, Tòa nhà Sora Gardens SC, Lô C19, Đại lộ Hùng Vương, Phường Bình Dương, TP.HCM",Dang hoat dong,Hồ Chí Minh
Kid's Box AEON Tân An,Kid's Box AEON Tân An,"Lô T212, Tầng 2, TTTM Aeon Tân An, Số 84 tuyến tránh Quốc lộ 1, KP Bình Cư 3 Phường Long An, Tỉnh Tây Ninh, Việt Nam",Dang hoat dong,Tây Ninh
Life4cuts,Life4cuts Lý Tự Trọng,"The New Playground, 26 Lý Tự Trọng, P. Bến Nghé, Quận 1, Hồ Chí Minh",Dang hoat dong,Hồ Chí Minh
Life4cuts,Life4cuts Gigamall Thủ Đức,"Tầng 4, Gigamall, 240 – 242 Phạm Văn Đồng, P. Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",Dang hoat dong,Hồ Chí Minh
Life4cuts,Life4cuts AEON Tân Phú,"Tầng 2, AEON Tân Phú, Số 30 Tân Thắng, P. Sơn Kỳ, Quận Tân Phú, Hồ Chí Minh",Dang hoat dong,Hồ Chí Minh
Life4cuts,Life4cuts Tầng 3 VivoCity,"Tầng 3, TTTM SC VivoCity, 1058 Nguyễn Văn Linh, P. Tân Phong, Quận 7, Hồ Chí Minh",Dang hoat dong,Hồ Chí Minh
Life4cuts,Life4cuts Sky Garden 2,"Sky Garden 2, Khu Đô thị mới Phú Mỹ Hưng, P. Tân Phong, Quận 7, Hồ Chí Minh",Dang hoat dong,Hồ Chí Minh
Life4cuts,Life4cuts Central Market Lê Lai,"90 Lê Lai, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",Dang hoat dong,Hồ Chí Minh
Life4cuts,Life4cuts Vincom Thủ Đức,"Tầng 4, TTTM Vincom, 216 Võ Văn Ngân, P. Bình Thọ, Thủ Đức, Hồ Chí Minh",Dang hoat dong,Hồ Chí Minh
Life4cuts,Life4cuts Saigon Garden,"99 Nguyễn Huệ, P. Bến Nghé, Quận 1, Hồ Chí Minh",Dang hoat dong,Hồ Chí Minh
Life4cuts,Life4cuts Phố đi bộ Nguyễn Huệ,"68 Phố đi bộ Nguyễn Huệ, P. Bến Nghé, Quận 1, Hồ Chí Minh",Dang hoat dong,Hồ Chí Minh
Life4cuts,Life4cuts Tầng 4 Nowzone,"Tầng 4 Nowzone, 235 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",Dang hoat dong,Hồ Chí Minh
Life4cuts,Life4cuts 27 Thảo Điền,"27 Thảo Điền, P. Thảo Điền, Thủ Đức, Hồ Chí Minh",Dang hoat dong,Hồ Chí Minh
Life4cuts,Life4cuts Landmark 81,"Tầng B1, TTTM Vincom Center Landmark 81, Vinhomes Tân Cảng, Quận Bình Thạnh, Hồ Chí Minh",Dang hoat dong,Hồ Chí Minh
Life4cuts,Life4cuts 537 Sư Vạn Hạnh,"537 Sư Vạn Hạnh, P. 12, Quận 10, Hồ Chí Minh",Dang hoat dong,Hồ Chí Minh
Khu Du Lịch Sinh Thái Sơn Tiên,Khu Du Lịch Sinh Thái Sơn Tiên,"Du Lịch Sinh Thái Sơn Tiên - Quốc Lộ 51, Khu Phố 4, Phường An Hoà, Biên Hoà, Đồng Nai",Dang hoat dong,Đồng Nai
Khu Du Lịch Sinh Thái Sơn Tiên,Địa điểm tư vấn mua voucher - LifeLink Hồ Chí Minh,"Địa điểm tư vấn mua voucher: Số 122 Nguyễn Hoàng, phường Bình Trưng, TP.Hồ Chí Minh",Dang hoat dong,Hồ Chí Minh
AdventureS,AdventureS,"Tầng L3, Toà Nam, TTTM Hanoi Centre, 175 Nguyễn Thái Học, P. Ô Chợ Dừa, Hà Nội",Dang hoat dong,Hà Nội
Bảo tàng Làng Chài Xưa,Địa điểm sử dụng - Bảo tàng Làng Chài Xưa,"360 Nguyễn Thông, Phú Hài, Phan Thiết, Lâm Đồng",Dang hoat dong,Lâm Đồng
Bảo tàng Làng Chài Xưa,Địa điểm tư vấn mua voucher - LifeLink Hồ Chí Minh,"Địa điểm tư vấn mua voucher: Số 122 Nguyễn Hoàng, phường Bình Trưng, TP.Hồ Chí Minh",Dang hoat dong,Hồ Chí Minh
Cinesphere - Phòng chiếu phim 8K,Cinesphere - Phòng chiếu phim 8K,"Tầng 4 Vạn Hạnh Mall, Số 11 Sư Vạn Hạnh, Phường Hòa Hưng, Hồ Chí Minh",Dang hoat dong,Hồ Chí Minh
Đài quan sát Lotte Center,ĐÀI QUAN SÁT LOTTE CENTER,"54 Liễu Giai, Ba Đình, Hà Nội",Dang hoat dong,Hà Nội
Đài quan sát Lotte Center,Đài quan sát Lotte Hà Nội Sky - Hanoi Sky Lotte Observation Deck,"Tầng 65 – Trung Tâm Lotte Hà Nội, 54 Liễu Giai, phường Giảng Võ, Hà Nội",Dang hoat dong,Hà Nội
X space Immersive,Immersive Space Royal,"Lô B2-R1-06-07-08, Trung tâm thương mại Vincom Mega Mall Royal City, Số 72A đường Nguyễn Trãi, phường Thanh Xuân, Thành phố Hà Nội, Việt Nam",Dang hoat dong,Hà Nội
HLC Starry Sky Art Museum,HLC Starry Sky Art Museum,"Khu B2 -R1-27-28 Vincom Mega Mall, 72A Đ. Nguyễn Trãi, Khu đô thị Royal City, Thanh Xuân, Hà Nội",Dang hoat dong,Hà Nội
Flyover Starry Sky Art Museum,Flyover Starry Sky Art Museum HCM,"Tầng 4, Bitexco Financial Tower, số 2 Hải Triều, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh",Dang hoat dong,Hồ Chí Minh
Khu vui chơi B-Zone,Khu vui chơi B - Zone Thảo Điền,"Lô L5 - 02 - 04, tầng L5, TTTM Vicom Mega Mall Thảo Điền. Số 161 Võ Nguyên Giáp phường Thảo Điền TP Thủ Đức Hồ Chí Minh",Dang hoat dong,Hồ Chí Minh
Khu vui chơi B-Zone,Khu vui chơi B - Zone Vivo,"Số 04 - 13A, 01-13B, TTM SC VivoCity, sô 1058 Nguyễn Văn Linh",Dang hoat dong,Hồ Chí Minh
kidzooona Vincom Ocean City Hưng Yên,kidzooona Vincom Ocean City Hưng Yên,"Lô L2-23, Tầng 2, Thửa đất số 1128, tờ bản đồ số 05 thuộc Dự án Khu đô thị sinh thái Dream City, Xã Nghĩa Trụ, Tỉnh Hưng Yên, Việt Nam.",Dang hoat dong,Hưng Yên
kidzooona AEON MALL Huế,kidzooona AEON MALL Huế,"Lô số T401; T433 và T434, Tầng 4, Aeon Mall Huế, Số 08 Đường Võ Nguyên Giáp, Phường An Cựu, Thành phố Huế, Việt Nam",Dang hoat dong,Huế
Tổ hợp Vui Chơi Giải Trí và Thể Thao Area One,Tổ hợp Vui Chơi Giải Trí và Thể Thao Area One,"Số 140 Đức Giang, Phường Việt Hưng, Thành Phố Hà Nội",Dang hoat dong,Hà Nội
TOUR ĐÊM VĂN MIẾU - TINH HOA ĐẠO HỌC,TOUR ĐÊM VĂN MIẾU - TINH HOA ĐẠO HỌC,"58 P. Quốc Tử Giá , Phường Văn Miếu Quốc Tử Giám, Hà Nội",Dang hoat dong,Hà Nội
kidzooona Vincom Royal Hà Nội,kidzooona Vincom Royal Hà Nội,"Lô số B2-R5-27, TTTM Vincom Mega Mall Royal City, 72A Đ. Nguyễn Trãi, Phường Thanh Xuân, Hà Nội",Dang hoat dong,Hà Nội
Danang Dophilnarium,Danang Dophilnarium,"Khối Quảng Gia, Phường Điện Bàn Đông, TP.Đà Nẵng",Dang hoat dong,Đà Nẵng
Saga Kids Playground,Saga Kids Playground,"Tầng B1, Tòa Capital Place, 29 Liễu Giai, Ba Đình, Hanoi, Vietnam",Dang hoat dong,Hà Nội
Khu du lịch Thúy Thuận Đà Lạt,Địa điểm sử dụng - Khu du lịch Thúy Thuận Đà Lạt,"Tổ 13, Thôn 1, Phường Cam Ly - Đà Lạt, tỉnh Lâm Đồng",Dang hoat dong,Lâm Đồng
Khu du lịch Thúy Thuận Đà Lạt,Địa điểm tư vấn mua voucher - LifeLink Hà Nội,"Địa điểm tư vấn mua voucher: Tầng 12A Tòa văn phòng - TTTM ROX Tower Goldmark City 136 Hồ Tùng Mậu, phường Phú Diễn, Hà Nội",Dang hoat dong,Hà Nội
City Sightseeing,City Sightseeing - Nhà Hát Lớn Hà Nội,Quầy kiosk màu đỏ với logo City Sightseeing: vườn hoa 19/8 (đối diện với khách sạn Hilton đường Lê Thánh Tông),Dang hoat dong,Hà Nội
City Sightseeing,City Sightseeing - Bờ Hồ Hoàn Kiếm,Quầy Thông tin Du Lịch: Đối diện 13 Đinh Tiên Hoàng – Hồ Hoàn Kiếm – Hà Nội,Dang hoat dong,Hà Nội
City Sightseeing,LifeLink Hà Nội,"Địa điểm tư vấn mua voucher: Tầng 12A Tòa văn phòng - TTTM ROX Tower Goldmark City 136 Hồ Tùng Mậu, phường Phú Diễn, Hà Nội",Dang hoat dong,Hà Nội
City Sightseeing,City Sightseeing - Nhà Hát Múa Rối Nước Thăng Long,"Quầy di động: Trước Nhà Hát Múa Rối Nước Thăng Long – số 57B Đinh Tiên Hoàn, Hoàn Kiếm, HN",Dang hoat dong,Hà Nội
City Sightseeing,City Sightseeing Huế,Quầy kiosk màu đỏ với logo City Sightseeing: 49 Lê Lợi – Bến Thuyền Tòa Khâm,Dang hoat dong,Huế
Ccomaya Kids Cafe,Ccomaya Kids Thảo Điền,"Số 9 Đường Số 6, Phường Thảo Điền, Thành phố Thủ Đức, TP.HCM",Dang hoat dong,Hồ Chí Minh
Ccomaya Kids Cafe,Ccomaya Kids Bình Thạnh,"715 Xô Viết Nghệ Tĩnh, Phường 26, Quận Bình Thạnh, TP.HCM",Dang hoat dong,Hồ Chí Minh
Ccomaya Kids Cafe,Ccomaya Kids Phú Mỹ Hưng,"101 - 103 - 105 - 107 Khu Phố Mỹ Hào, Phường Tân Phong, Quận 7, TP.HCM",Dang hoat dong,Hồ Chí Minh
Spicy Box,Spicy Box - Chi nhánh 1,"B2-08, TTTM Hà Nội Centre số 175 Nguyễn Thái Học, Phường Ô Chợ Dừa, Hà Nội",Dang hoat dong,
Spicy Box,Spicy Box - Chi nhánh 2,"L4-06 Tầng L4 TTTM Vincom, Số 910A Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",Dang hoat dong,
Spicy Box,Spicy Box - Chi nhánh 3,"L3-01a1, Tầng 3, TTTM MM SUPERCENTER, 167 Đường Nguyễn Sinh Sắc, Khu vực phía Đông Nam ký túc xá sinh viên, Phường Hòa Khánh, Đà Nẵng",Dang hoat dong,
Spicy Box,Spicy Box - Chi nhánh 4,"2F - 28, Tầng 2 Lotte Đà Nẵng, số 06 Nại Nam, P. Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",Dang hoat dong,
Spicy Box,Spicy Box - Chi nhánh 5,"1S11 Trung tâm thương mại Khu quy hoạch Đống Đa - Hùng Vương - Bà Triệu, Phường Thuận Hóa, Huế",Dang hoat dong,
Spicy Box,Spicy Box - Chi nhánh 6,"L3-06, Tầng L3, TTTM Vincom, Tòa nhà Vincom Plaza Hậu Giang, Số 1 Đường 3 Tháng 2, Khu vực 3, Phường Vị Tân, Hậu Giang",Dang hoat dong,
Spicy Box,Spicy Box - Chi nhánh 7,"1S7+8 Go! Vinh Số 2 Quang Trung, Phường Quang Trung, Vinh, Nghệ An",Dang hoat dong,
Spicy Box,Spicy Box - Chi nhánh 8,"L3-05, TTTM Vincom Plaza Đồng Hới, đường Quách Xuân Kỳ, Phường Đồng Hới, Quảng Trị",Dang hoat dong,
Spicy Box,Spicy Box - Chi nhánh 9,"L4-05 Vincom Plaza, 26 Lê Thánh Tôn, Phường Nghĩa Chánh, Quảng Ngãi",Dang hoat dong,
Spicy Box,Spicy Box - Chi nhánh 10,"GF-05 Tầng trệt Siêu thị Co.op Mart Buôn Mê Thuột 71 Nguyễn Tất Thành, P. Tân An, Thành phố Buôn Ma Thuột, Đắk Lắk",Dang hoat dong,
Spicy Box,Spicy Box - Chi nhánh 11,"1K10+14 Go! Mall Nha Trang Lô số 4, đường 19/5, Khu đô thị Vĩnh Điềm Trung, Xã Vĩnh Hiệp, Nha Trang, Khánh Hòa",Dang hoat dong,
Spicy Box,Spicy Box - Chi nhánh 12,"2F 55A Tầng 2, TTTM Nha Trang Center số 20 Trần Phú, Lộc Thọ, Nha Trang, Khánh Hòa",Dang hoat dong,
Spicy Box,Spicy Box - Chi nhánh 13,"1S17 Tầng 1, TTTM Go! Đà Lạt, Quảng trường Lâm Viên, góc đường Hồ Tùng Mậu và Trần Quốc Toản, Phường Xuân Hương, Đà Lạt, Lâm Đồng",Dang hoat dong,
